,rank,title,fullTitle,year,crew,imDbRating,imDbRating
206,207,Tokyo Story,Tokyo Story (1953),1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1,8.1
207,208,The Passion of Joan of Arc,The Passion of Joan of Arc (1928),1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.1,8.1
208,209,Hotel Rwanda,Hotel Rwanda (2004),2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.0,8.0
209,210,Ford v Ferrari,Ford v Ferrari (2019),2019,"James Mangold (dir.), Matt Damon, Christian Bale",8.0,8.0
210,211,Rocky,Rocky (1976),1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.0,8.0
211,212,Platoon,Platoon (1986),1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.0,8.0
212,213,Ratatouille,Ratatouille (2007),2007,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.0,8.0
213,214,Spotlight,Spotlight (2015),2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.0,8.0
214,215,The Terminator,The Terminator (1984),1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.0,8.0
215,216,Logan,Logan (2017),2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.0,8.0
216,217,Stand by Me,Stand by Me (1986),1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.0,8.0
217,218,Rush,Rush (2013),2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.0,8.0
218,219,Network,Network (1976),1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.0,8.0
219,220,Into the Wild,Into the Wild (2007),2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.0,8.0
220,221,Before Sunset,Before Sunset (2004),2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.0,8.0
221,222,The Wizard of Oz,The Wizard of Oz (1939),1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.0,8.0
222,223,Pather Panchali,Pather Panchali (1955),1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.0,8.0
223,224,Groundhog Day,Groundhog Day (1993),1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.0,8.0
224,225,The Best Years of Our Lives,The Best Years of Our Lives (1946),1946,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.0,8.0
225,226,The Exorcist,The Exorcist (1973),1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.0,8.0
226,227,The Incredibles,The Incredibles (2004),2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.0,8.0
227,228,To Be or Not to Be,To Be or Not to Be (1942),1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.0,8.0
228,229,La haine,La haine (1995),1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.0,8.0
229,230,The Battle of Algiers,The Battle of Algiers (1966),1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.0,8.0
230,231,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.0,8.0
231,232,Hachi: A Dog's Tale,Hachi: A Dog's Tale (2009),2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.0,8.0
232,233,The Grapes of Wrath,The Grapes of Wrath (1940),1940,"John Ford (dir.), Henry Fonda, Jane Darwell",8.0,8.0
233,234,Jai Bhim,Jai Bhim (2021),2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.0,8.0
234,235,My Father and My Son,My Father and My Son (2005),2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.0,8.0
235,236,Amores Perros,Amores Perros (2000),2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.0,8.0
236,237,Rebecca,Rebecca (1940),1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.0,8.0
237,238,Cool Hand Luke,Cool Hand Luke (1967),1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.0,8.0
238,239,The Handmaiden,The Handmaiden (2016),2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.0,8.0
239,240,The 400 Blows,The 400 Blows (1959),1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.0,8.0
240,241,The Sound of Music,The Sound of Music (1965),1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.0,8.0
241,242,It Happened One Night,It Happened One Night (1934),1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.0,8.0
242,243,Persona,Persona (1966),1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.0,8.0
243,244,Life of Brian,Life of Brian (1979),1979,"Terry Jones (dir.), Graham Chapman, John Cleese",8.0,8.0
244,245,The Iron Giant,The Iron Giant (1999),1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.0,8.0
245,246,Dersu Uzala,Dersu Uzala (1975),1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.0,8.0
246,247,The Help,The Help (2011),2011,"Tate Taylor (dir.), Viola Davis, Emma Stone",8.0,8.0
247,248,Aladdin,Aladdin (1992),1992,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.0,8.0
248,249,Gandhi,Gandhi (1982),1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.0,8.0
249,250,Dances with Wolves,Dances with Wolves (1990),1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.0,8.0
